city,date,hour,rolling_avg_temperature_c,rolling_avg_pressure_mm,is_rain_start
Moscow,2024-02-16,15,-6.5,758.5,False
Moscow,2024-02-16,16,-6.25,758.25,False
Moscow,2024-02-16,17,-6.0,758.25,False
Moscow,2024-02-16,18,-6.0,758.5,False
Moscow,2024-02-16,19,-6.0,758.25,False
Moscow,2024-02-16,20,-6.0,758.25,False
Moscow,2024-02-16,21,-6.0,758.5,False
Moscow,2024-02-16,22,-6.0,758.25,False
Moscow,2024-02-16,23,-6.0,758.25,False
Moscow,2024-02-17,0,-6.0,758.0,False
Moscow,2024-02-17,1,-6.0,757.5,True
Moscow,2024-02-17,2,-6.0,757.3333333333334,False
Moscow,2024-02-17,3,-6.0,757.5,False
Moscow,2024-02-17,4,-6.0,757.25,False
Moscow,2024-02-17,5,-5.75,757.0,False
Moscow,2024-02-17,6,-5.75,757.0,False
Moscow,2024-02-17,7,-5.5,756.5,False
Moscow,2024-02-17,8,-5.25,756.25,False
Moscow,2024-02-17,9,-5.25,756.25,False
Moscow,2024-02-17,10,-5.0,755.75,False
Moscow,2024-02-17,11,-4.75,755.5,False
Moscow,2024-02-17,12,-4.25,755.25,False
Moscow,2024-02-17,13,-3.5,754.75,False
Moscow,2024-02-17,14,-2.75,754.25,False
Moscow,2024-02-17,15,-2.25,753.75,False
Moscow,2024-02-17,16,-1.75,753.0,False
Moscow,2024-02-17,17,-1.5,752.5,False
Moscow,2024-02-17,18,-1.25,752.25,False
Moscow,2024-02-17,19,-1.0,751.75,False
Moscow,2024-02-17,20,-1.0,751.25,False
Moscow,2024-02-17,21,-1.0,750.75,False
Moscow,2024-02-17,22,-1.0,750.0,False
Moscow,2024-02-17,23,-1.0,749.25,False
Moscow,2024-02-18,0,-1.0,748.0,False
Moscow,2024-02-18,1,-0.5,747.5,True
Moscow,2024-02-18,2,-0.3333333333333333,747.0,False
Moscow,2024-02-18,3,-0.5,746.75,False
Moscow,2024-02-18,4,-0.25,746.0,False
Moscow,2024-02-18,5,-0.25,745.5,False
Moscow,2024-02-18,6,-0.25,745.5,False
Moscow,2024-02-18,7,0.0,745.25,False
Moscow,2024-02-18,8,0.0,745.5,False
Moscow,2024-02-18,9,0.0,745.75,False
Moscow,2024-02-18,10,0.0,745.75,False
Moscow,2024-02-18,11,0.0,746.25,False
Moscow,2024-02-18,12,-0.25,746.75,False
Moscow,2024-02-18,13,-0.5,747.25,False
Novosibirsk,2024-02-15,0,-15.0,743.0,False
Novosibirsk,2024-02-15,1,-15.5,743.5,False
Novosibirsk,2024-02-15,2,-16.333333333333332,743.6666666666666,False
Novosibirsk,2024-02-15,3,-17.0,744.0,False
Novosibirsk,2024-02-15,4,-18.25,745.0,False
Novosibirsk,2024-02-15,5,-19.5,745.75,False
Novosibirsk,2024-02-15,6,-20.5,746.5,False
Novosibirsk,2024-02-15,7,-21.5,747.25,False
Novosibirsk,2024-02-15,8,-22.5,747.5,False
Novosibirsk,2024-02-15,9,-23.5,747.75,False
Novosibirsk,2024-02-15,10,-24.5,748.5,False
Novosibirsk,2024-02-15,11,-25.25,748.75,False
Novosibirsk,2024-02-15,12,-25.5,749.25,False
